Year,Month,Day,Count
12,01,15,772
12,01,16,826
12,01,17,844
12,01,18,791
12,01,19,748
12,01,20,685
12,01,21,717
12,01,22,682
12,01,23,834
12,01,24,898
12,01,25,962
12,01,26,924
12,01,27,932
12,01,28,808
12,01,29,813
12,01,30,868
12,01,31,964
12,02,01,1040
12,02,02,880
12,02,03,897
12,02,04,848
12,02,05,744
12,02,06,765
12,02,07,858
12,02,08,811
12,02,09,828
12,02,10,775
12,02,11,712
12,02,12,717
12,02,13,729
12,02,14,775
12,02,15,927
12,02,16,869
12,02,17,986
12,02,18,763
12,02,19,785
12,02,20,716
12,02,21,850
12,02,22,897
12,02,23,818
12,02,24,784
12,02,25,792
12,02,26,727
12,02,27,818
12,02,28,893
12,02,29,875
12,03,01,1042
12,03,02,881
12,03,03,779
12,03,04,757
12,03,05,764
12,03,06,938
12,03,07,950
12,03,08,922
12,03,09,958
12,03,10,891
12,03,11,805
12,03,12,912
12,03,13,926
12,03,14,930
12,03,15,1000
12,03,16,956
12,03,17,1069
12,03,18,919
12,03,19,979
12,03,20,992
12,03,21,1076
12,03,22,979
12,03,23,976
12,03,24,905
12,03,25,885
12,03,26,831
12,03,27,868
12,03,28,911
12,03,29,948
12,03,30,941
12,03,31,878
12,04,01,999
12,04,02,828
12,04,03,883
12,04,04,865
12,04,05,881
12,04,06,903
12,04,07,974
12,04,08,820
12,04,09,918
12,04,10,844
12,04,11,920
12,04,12,922
12,04,13,939
12,04,14,944
12,04,15,977
12,04,16,931
12,04,17,959
12,04,18,879
12,04,19,961
12,04,20,917
12,04,21,876
12,04,22,824
12,04,23,935
12,04,24,896
12,04,25,952
12,04,26,925
12,04,27,962
12,04,28,878
12,04,29,803
12,04,30,869
12,05,01,1064
12,05,02,998
12,05,03,981
12,05,04,1031
12,05,05,950
12,05,06,843
12,05,07,973
12,05,08,1025
12,05,09,977
12,05,10,916
12,05,11,998
12,05,12,932
12,05,13,819
12,05,14,1004
12,05,15,1040
12,05,16,947
12,05,17,954
12,05,18,977
12,05,19,930
12,05,20,956
12,05,21,886
12,05,22,950
12,05,23,1072
12,05,24,1023
12,05,25,1083
12,05,26,910
12,05,27,927
12,05,28,1030
12,05,29,1094
12,05,30,985
12,05,31,829
12,06,01,1221
12,06,02,944
12,06,03,991
12,06,04,980
12,06,05,950
12,06,06,1024
12,06,07,991
12,06,08,1114
12,06,09,1049
12,06,10,1008
12,06,11,1066
12,06,12,1089
12,06,13,1076
12,06,14,979
12,06,15,1081
12,06,16,1062
12,06,17,946
12,06,18,1068
12,06,19,1004
12,06,20,1098
12,06,21,1056
12,06,22,1120
12,06,23,1128
12,06,24,1077
12,06,25,965
12,06,26,957
12,06,27,1047
12,06,28,939
12,06,29,1045
12,06,30,1011
12,07,01,1190
12,07,02,1056
12,07,03,1060
12,07,04,1045
12,07,05,1010
12,07,06,1027
12,07,07,1062
12,07,08,1093
12,07,09,1065
12,07,10,1054
12,07,11,1030
12,07,12,1040
12,07,13,1084
12,07,14,1054
12,07,15,1125
12,07,16,988
12,07,17,1004
12,07,18,977
12,07,19,921
12,07,20,1072
12,07,21,1065
12,07,22,985
12,07,23,988
12,07,24,967
12,07,25,1012
12,07,26,976
12,07,27,1040
12,07,28,1044
12,07,29,1017
12,07,30,999
12,07,31,933
12,08,01,1107
12,08,02,1019
12,08,03,1061
12,08,04,1000
12,08,05,960
12,08,06,962
12,08,07,952
12,08,08,973
12,08,09,936
12,08,10,914
12,08,11,994
12,08,12,944
12,08,13,868
12,08,14,961
12,08,15,1063
12,08,16,937
12,08,17,963
12,08,18,986
12,08,19,940
12,08,20,893
12,08,21,921
12,08,22,890
12,08,23,1031
12,08,24,1032
12,08,25,1080
12,08,26,905
12,08,27,902
12,08,28,953
12,08,29,955
12,08,30,929
12,08,31,1015
12,09,01,1179
12,09,02,895
12,09,03,890
12,09,04,914
12,09,05,861
12,09,06,1018
12,09,07,960
12,09,08,985
12,09,09,910
12,09,10,880
12,09,11,913
12,09,12,936
12,09,13,868
12,09,14,997
12,09,15,1012
12,09,16,897
12,09,17,901
12,09,18,831
12,09,19,914
12,09,20,920
12,09,21,998
12,09,22,871
12,09,23,827
12,09,24,869
12,09,25,922
12,09,26,934
12,09,27,839
12,09,28,983
12,09,29,970
12,09,30,869
12,10,01,1054
12,10,02,906
12,10,03,919
12,10,04,880
12,10,05,914
12,10,06,807
12,10,07,768
12,10,08,901
12,10,09,892
12,10,10,962
12,10,11,866
12,10,12,964
12,10,13,875
12,10,14,860
12,10,15,939
12,10,16,874
12,10,17,956
12,10,18,898
12,10,19,942
12,10,20,961
12,10,21,927
12,10,22,839
12,10,23,893
12,10,24,1018
12,10,25,851
12,10,26,963
12,10,27,861
12,10,28,827
12,10,29,833
12,10,30,873
12,10,31,951
12,11,01,1074
12,11,02,932
12,11,03,802
